Id,Name,AddressLine1,AddressLine2,City,County,StateProvinceRegion,Zip,MetropolitanStatisticalArea,Latitude,Longitude,YQL_console_Geo,BuildingTotalSquareFoot,BuiltTimePeriod,Condition,Class,Quality,Stories,Units,BedroomMix,AverageSquareFootPerUnit,Occupancy,PotentialGrossIncome,EffectiveGrossIncome,OperatingExpense,NetOperatingIncome,OverallRate,GrossRentMultiplier,Price,Date,OfficialRecordBookAndPage,Grantor,Grantee,CostPerSquareFoot,CostPerUnit,PropertyRights,Financing,ListedPriceAtSale,MarketingPeriod,ContractPeriod,Verification,PriorSales,SiteTotalSquareFoot,Acres,FloorToAreaRatio,BuildingAreaRatio,Zoning,Parking,ParcelId,LegalDescription,FloodZone,CensusTract
125e91cd-eb4a-4001-84b6-9ee101760830,Lulav Square,628 Lenox Avenue,,Miami Beach,Miami-Dade,FL,33139-5951 ,,25.776283,-80.13975,"select * from json where url=""http://maps.googleapis.com/maps/api/geocode/json?address=628+Lenox+Avenue,33139-5951&sensor=false""",35000.45,Lorem ipsum dolor sit amet,,,,3,35,Lorem ipsum dolor sit amet,222.45,85.5,1111.32,123109.34,123110.34,123111.34,11.5,11111.23,111111.1,4/30/2009 11:00,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,111.23,1111.32,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,89384.9,11.5,0.11,0.11,Lorem ipsu,,1111-2133,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet
125e91cd-eb4a-4001-84b6-9ee101760830,Alamac Apartments,1300 Collins Ave,,Miami Beach,Miami-Dade,FL,33139-4234 ,,25.784372,-80.13127,"select * from json where url=""http://maps.googleapis.com/maps/api/geocode/json?address=1300+Collins+Ave,33139-4234&sensor=false""",23001.04,Lorem ipsum dolor sit amet,,,,3,35,Lorem ipsum dolor sit amet,222.45,85.5,1111.32,123109.34,123110.34,123111.34,11.5,11111.23,111111.1,5/26/2009 8:19,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,111.23,1111.32,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,65386.08,11.5,0.11,0.11,Lorem ipsu,,1111-2132,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet
22b95a9d-34ec-4306-b9a8-9ee1017962e8,Bamboo Flats,718 NE 3rd Ave,,Fort Lauderdale,Broward,FL,33304,,26.13231,-80.14028,"select * from json where url=""http://maps.googleapis.com/maps/api/geocode/json?address=718+NE+3rd+Ave,33304&sensor=false""",33002.05,Lorem ipsum dolor sit amet,,,,3,35,Lorem ipsum dolor sit amet,222.4,85.5,1111.32,111111.34,111111.3,123112.34,11.5,11111.23,111111.2,6/13/2005 15:01,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,111.23,1111.32,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,85388.1,12.5,0.11,0.11,Lorem ipsu,,1111-2131,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet
294f9b15-f91a-43ec-88f6-9ee1017341b5,Colonial Manor East Apartments,2500 Northeast 9th Street ,,Fort Lauderdale,Broward,FL,33304-3550 ,,26.135027,-80.112854,"select * from json where url=""http://maps.googleapis.com/maps/api/geocode/json?address=2500+Northeast+9th+Street,33304-3550&sensor=false""",34003.06,Lorem ipsum dolor sit amet,,,,3,35,Lorem ipsum dolor sit amet,222.4,85.5,1111.32,111111.34,111111.3,123113.34,11.5,11111.23,111111,10/1/1991 10:03,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,111.23,1111.32,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,87390.12,13.5,0.11,0.11,Lorem ipsu,,1111-2130,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet
37193053-5b6d-40f7-86d8-9ee101767a80,Satori Altman Co,2404 East Sunrise Boulevard ,,Fort Lauderdale,Broward,FL,33304-3102 ,,26.137815,-80.114624,"select * from json where url=""http://maps.googleapis.com/maps/api/geocode/json?address=2404+East+Sunrise+Boulevard,33304-3102&sensor=false""",23002.04,Lorem ipsum dolor sit amet,,,,3,35,Lorem ipsum dolor sit amet,222.4,85.5,1111.32,111111.34,111111.3,123114.34,11.5,11111.23,111111,3/25/1988 19:45,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,111.23,1111.32,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,65388.08,14.5,0.11,0.11,Lorem ipsu,,1111-2129,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet
787b3d7e-3cb3-4cd5-8af1-9ee101796748,Royal Saxon Apartments,551 Breakers Avenue ,,Fort Lauderdale,Broward,FL,33304-4191 ,,26.13095,-80.105125,"select * from json where url=""http://maps.googleapis.com/maps/api/geocode/json?address=551+Breakers+Avenue,33304-4191&sensor=false""",33003.05,Lorem ipsum dolor sit amet,,,,3,35,Lorem ipsum dolor sit amet,222.4,85.5,1111.32,111111.34,111111.3,123115.34,11.5,11111.23,111111,12/9/2009 22:21,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,111.23,1111.32,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,85390.1,15.5,0.11,0.11,Lorem ipsu,,1111-2128,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet
9a41c208-b3bf-4f71-a7da-9ee101730424,Casa Alhambra,3026 Alhambra Street,,Fort Lauderdale,Broward,FL,33304,,26.124807,-80.10454,"select * from json where url=""http://maps.googleapis.com/maps/api/geocode/json?address=3026+Alhambra+Street,33304&sensor=false""",11000,Lorem ipsum dolor sit amet,,,,3,35,Lorem ipsum dolor sit amet,222.4,85.5,1111.32,111111.34,111111.3,123116.34,11.5,11111.23,111111,1/12/2009 20:49,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,111.23,1111.32,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,41384,16.5,0.11,0.11,Lorem ipsu,,1111-2127,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet
ad1fdbd7-b92d-44f8-abf5-9ee101768229,Birch Crest Apartments,336 North Birch Road ,,Fort Lauderdale,Broward,FL,33304-4235 ,,26.127228,-80.10526,"select * from json where url=""http://maps.googleapis.com/maps/api/geocode/json?address=336+North+Birch+Road,33304-4235&sensor=false""",35345.54,Lorem ipsum dolor sit amet,,,,3,35,Lorem ipsum dolor sit amet,222.4,85.5,1111.32,111111.34,111111.3,123117.34,11.5,11111.23,111111,4/7/2009 14:14,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,111.23,1111.32,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,90075.08,17.5,0.11,0.11,Lorem ipsu,,1111-2126,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet
b11a0d36-d6d4-4bd8-9d8e-9ee101760c3b,Ft Lauderdale Surf Club,425 Bayshore Dr,,Fort Lauderdale,Broward,FL,33304-4219 ,,26.1281,-80.1073,"select * from json where url=""http://maps.googleapis.com/maps/api/geocode/json?address=425+Bayshore+Dr,33304-4219&sensor=false""",35000.56,Lorem ipsum dolor sit amet,,,,3,35,Lorem ipsum dolor sit amet,222.4,85.5,1111.32,111111.34,111111.3,123118.34,11.5,11111.23,111111,4/8/2005 19:55,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,111.23,1111.32,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,89385.12,18.5,0.11,0.11,Lorem ipsu,,1111-2125,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet
b11a0d36-d6d4-4bd8-9d8e-9ee101760c3b,Spring Tide Apartments,345 N Fort Lauderdale Beach Blvd,,Fort Lauderdale,Broward,FL,33304-4231 ,,26.127756,-80.10372,"select * from json where url=""http://maps.googleapis.com/maps/api/geocode/json?address=345+N+Fort+Lauderdale+Beach+Blvd,33304-4231&sensor=false""",34005.06,Lorem ipsum dolor sit amet,,,,4,36,Lorem ipsum dolor sit amet,223.4,85.5,1112.32,111112.34,111112.3,123119.34,12.5,11112.23,111112,3/24/2006 0:50,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,112.23,1112.32,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,87394.12,19.5,1.11,1.11,Lorem ipsu,,1111-2124,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet
